Id,Checking_status,Duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment,Installment_commitment,Personal_status,Other_parties,Residence_since,Property_magnitude,Age,Other_payment_plans,Housing,Existing_credits,Job,Num_dependents,Own_telephone,Foreign_worker,Class
102,0-200,36,existing paid,radio/tv,2323,below 100,4-7,4,male single,none,4,car,24,none,rent,1,skilled,1,no,yes,good
103,above 200,6,delayed previously,radio/tv,932,below 100,1-4,3,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,no,yes,good
104,0-200,9,critical/other existing credit,furniture/equipment,1919,below 100,4-7,4,male single,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
105,above 200,12,existing paid,used car,2445,0,below 1,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
106,0-200,24,critical/other existing credit,other,11938,below 100,1-4,2,male single,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
107,above 200,18,all paid,new car,6458,below 100,above 7,2,male single,none,4,none,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
108,0-200,12,existing paid,new car,6078,below 100,4-7,2,male single,none,2,car,32,none,own,1,skilled,1,no,yes,good
109,above 200,24,existing paid,furniture/equipment,7721,0,below 1,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no,good
110,0-200,14,existing paid,business,1410,500-1000,above 7,1,male mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good
111,0-200,6,delayed previously,business,1449,100-500,above 7,1,male div/sep,none,2,car,31,bank,own,2,skilled,2,no,yes,good
112,above 200,15,existing paid,education,392,below 100,below 1,4,female div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,good
113,0-200,18,existing paid,new car,6260,below 100,4-7,3,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,no,yes,good
114,above 200,36,critical/other existing credit,new car,7855,below 100,1-4,4,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,bad
115,above 200,12,existing paid,radio/tv,1680,500-1000,above 7,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,no,yes,good
116,above 200,48,critical/other existing credit,radio/tv,3578,0,above 7,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,good
117,above 200,42,existing paid,radio/tv,7174,0,4-7,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
118,above 200,10,critical/other existing credit,furniture/equipment,2132,0,below 1,2,female div/dep/mar,co applicant,3,real estate,27,none,rent,2,skilled,1,no,no,good
119,above 200,33,critical/other existing credit,furniture/equipment,4281,500-1000,1-4,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,no,yes,bad
120,0-200,12,critical/other existing credit,new car,2366,500-1000,4-7,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
121,above 200,21,existing paid,radio/tv,1835,below 100,1-4,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes,bad
122,above 200,24,critical/other existing credit,used car,3868,below 100,above 7,4,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
123,above 200,12,existing paid,furniture/equipment,1768,below 100,1-4,3,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,no,yes,good
124,above 200,10,critical/other existing credit,new car,781,below 100,above 7,4,male single,none,4,none,63,none,for free,2,skilled,1,yes,yes,good
125,0-200,18,existing paid,furniture/equipment,1924,0,below 1,4,female div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,no,yes,bad
126,above 200,12,critical/other existing credit,new car,2121,below 100,1-4,4,male single,none,2,life insurance,30,none,own,2,skilled,1,no,yes,good
127,above 200,12,existing paid,radio/tv,701,below 100,1-4,4,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,no,yes,good
128,0-200,12,existing paid,repairs,639,below 100,1-4,4,male single,none,2,car,30,none,own,1,skilled,1,no,yes,bad
129,0-200,12,critical/other existing credit,used car,1860,below 100,0,4,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
130,above 200,12,critical/other existing credit,new car,3499,below 100,1-4,3,female div/dep/mar,co applicant,2,real estate,29,none,own,2,skilled,1,no,yes,bad
131,0-200,48,existing paid,new car,8487,0,4-7,1,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,no,yes,good
132,above 200,36,delayed previously,education,6887,below 100,1-4,4,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,bad
133,above 200,15,existing paid,furniture/equipment,2708,below 100,below 1,2,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,no,yes,good
134,above 200,18,existing paid,furniture/equipment,1984,below 100,1-4,4,male single,none,4,none,47,bank,for free,2,skilled,1,no,yes,good
135,above 200,60,existing paid,radio/tv,10144,100-500,4-7,2,female div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes,good
136,above 200,12,critical/other existing credit,radio/tv,1240,0,above 7,4,female div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,yes,yes,good
137,above 200,27,delayed previously,used car,8613,above 1000,1-4,2,male single,none,2,car,27,none,own,2,skilled,1,no,yes,good
138,0-200,12,existing paid,radio/tv,766,500-1000,1-4,4,male single,none,3,real estate,66,none,own,1,unskilled resident,1,no,yes,bad
139,0-200,15,critical/other existing credit,radio/tv,2728,0,4-7,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,good
140,above 200,12,existing paid,radio/tv,1881,below 100,1-4,2,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,good
141,above 200,6,existing paid,new car,709,above 1000,below 1,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,no,no,good
142,0-200,36,existing paid,radio/tv,4795,below 100,below 1,4,female div/dep/mar,none,1,none,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
143,above 200,27,existing paid,radio/tv,3416,below 100,1-4,3,male single,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,no,yes,good
144,above 200,18,existing paid,furniture/equipment,2462,below 100,1-4,2,male single,none,2,car,22,none,own,1,skilled,1,no,yes,bad
145,above 200,21,critical/other existing credit,furniture/equipment,2288,below 100,below 1,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,good
146,0-200,48,all paid,business,3566,100-500,4-7,4,male single,none,2,car,30,none,own,1,skilled,1,no,yes,good
147,above 200,6,critical/other existing credit,new car,860,below 100,above 7,1,female div/dep/mar,none,4,none,39,none,own,2,skilled,1,yes,yes,good
148,above 200,12,critical/other existing credit,new car,682,100-500,4-7,4,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,good
149,above 200,36,critical/other existing credit,furniture/equipment,5371,below 100,1-4,3,male single,guarantor,2,life insurance,28,none,own,2,skilled,1,no,yes,good
150,above 200,18,critical/other existing credit,radio/tv,1582,above 1000,above 7,4,male single,none,4,car,46,none,own,2,skilled,1,no,yes,good
151,above 200,6,existing paid,radio/tv,1346,100-500,above 7,2,male single,none,4,none,42,bank,for free,1,skilled,2,yes,yes,good
152,above 200,10,existing paid,radio/tv,1924,below 100,1-4,1,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,no,good
153,above 200,36,existing paid,radio/tv,5848,below 100,1-4,4,male single,none,1,car,24,none,own,1,skilled,1,no,yes,good
154,0-200,24,critical/other existing credit,used car,7758,above 1000,above 7,2,female div/dep/mar,none,4,none,29,none,rent,1,skilled,1,no,yes,good
155,0-200,24,delayed previously,business,6967,100-500,4-7,4,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
156,above 200,12,existing paid,furniture/equipment,1282,below 100,1-4,2,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,no,yes,bad
157,above 200,9,critical/other existing credit,repairs,1288,100-500,above 7,3,male single,guarantor,4,real estate,48,none,own,2,skilled,2,no,no,good
158,above 200,12,all paid,retraining,339,below 100,above 7,4,male mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,no,yes,good
159,0-200,24,existing paid,new car,3512,100-500,4-7,2,male single,none,3,car,38,bank,own,2,skilled,1,yes,yes,good
160,above 200,6,critical/other existing credit,radio/tv,1898,0,1-4,1,male single,none,2,real estate,34,none,own,2,unskilled resident,2,no,yes,good
161,above 200,24,critical/other existing credit,radio/tv,2872,100-500,above 7,3,male single,none,4,real estate,36,none,own,1,skilled,2,yes,yes,good
162,above 200,18,critical/other existing credit,new car,1055,below 100,below 1,4,female div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,no,yes,good
163,above 200,15,existing paid,domestic appliance,1262,500-1000,4-7,4,male single,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,good
164,0-200,10,existing paid,new car,7308,below 100,0,2,male single,none,4,none,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
165,above 200,36,existing paid,new car,909,500-1000,above 7,4,male single,none,4,life insurance,36,none,own,1,skilled,1,no,yes,good
166,above 200,6,existing paid,furniture/equipment,2978,500-1000,1-4,1,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
167,above 200,18,existing paid,furniture/equipment,1131,below 100,0,4,female div/dep/mar,none,2,car,33,none,own,1,skilled,1,no,yes,bad
168,0-200,11,existing paid,furniture/equipment,1577,above 1000,below 1,4,female div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,no,yes,good
169,above 200,24,existing paid,furniture/equipment,3972,below 100,4-7,2,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,good
170,0-200,24,critical/other existing credit,business,1935,below 100,above 7,4,male div/sep,none,4,real estate,31,none,own,2,skilled,1,yes,yes,bad
171,above 200,15,no credits/all paid,new car,950,below 100,above 7,4,male single,none,3,car,33,none,rent,2,skilled,2,no,yes,bad
172,above 200,12,existing paid,furniture/equipment,763,below 100,1-4,4,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,yes,yes,good
173,0-200,24,delayed previously,furniture/equipment,2064,below 100,0,3,female div/dep/mar,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
174,0-200,8,existing paid,radio/tv,1414,below 100,1-4,4,male single,guarantor,2,real estate,33,none,own,1,skilled,1,no,no,good
175,above 200,21,delayed previously,education,3414,below 100,below 1,2,male single,none,1,life insurance,26,none,own,2,skilled,1,no,yes,bad
176,above 200,30,all paid,used car,7485,0,0,4,female div/dep/mar,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
177,above 200,12,existing paid,furniture/equipment,2577,below 100,1-4,2,male div/sep,none,1,car,42,none,own,1,skilled,1,no,yes,good
178,above 200,6,critical/other existing credit,radio/tv,338,500-1000,above 7,4,male single,none,4,car,52,none,own,2,skilled,1,no,yes,good
179,above 200,12,existing paid,radio/tv,1963,below 100,4-7,4,male single,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
180,above 200,21,critical/other existing credit,new car,571,below 100,above 7,4,male single,none,4,real estate,65,none,own,2,skilled,1,no,yes,good
181,above 200,36,delayed previously,business,9572,below 100,below 1,1,male div/sep,none,1,car,28,none,own,2,skilled,1,no,yes,bad
182,0-200,36,delayed previously,business,4455,below 100,1-4,2,male div/sep,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
183,above 200,21,all paid,new car,1647,0,1-4,4,male single,none,2,life insurance,40,none,own,2,unskilled resident,2,no,yes,bad
184,above 200,24,critical/other existing credit,furniture/equipment,3777,above 1000,1-4,4,male single,none,4,real estate,50,none,own,1,skilled,1,yes,yes,good
185,0-200,18,critical/other existing credit,new car,884,below 100,above 7,4,male single,none,4,car,36,bank,own,1,skilled,2,yes,yes,bad
186,above 200,15,critical/other existing credit,radio/tv,1360,below 100,1-4,4,male single,none,2,life insurance,31,none,own,2,skilled,1,no,yes,good
187,0-200,9,all paid,used car,5129,below 100,above 7,2,female div/dep/mar,none,4,none,74,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,bad
188,0-200,16,critical/other existing credit,new car,1175,below 100,0,2,male single,none,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,yes,good
189,above 200,12,existing paid,radio/tv,674,100-500,4-7,4,male mar/wid,none,1,life insurance,20,none,own,1,skilled,1,no,yes,bad
190,0-200,18,no credits/all paid,furniture/equipment,3244,below 100,1-4,1,female div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
191,above 200,24,existing paid,business,4591,above 1000,1-4,2,male single,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
192,0-200,48,no credits/all paid,business,3844,100-500,4-7,4,male single,none,4,none,34,none,for free,1,unskilled resident,2,no,yes,bad
193,0-200,27,existing paid,business,3915,below 100,1-4,4,male single,none,2,car,36,none,own,1,skilled,2,yes,yes,bad
194,above 200,6,existing paid,radio/tv,2108,below 100,4-7,2,male mar/wid,none,2,real estate,29,none,rent,1,skilled,1,no,yes,good
195,0-200,45,existing paid,radio/tv,3031,100-500,1-4,4,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,no,yes,bad
196,0-200,9,critical/other existing credit,education,1501,below 100,above 7,2,female div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
197,above 200,6,critical/other existing credit,radio/tv,1382,below 100,1-4,1,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,good
198,0-200,12,existing paid,furniture/equipment,951,100-500,below 1,4,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,no,yes,bad
199,0-200,24,existing paid,used car,2760,0,above 7,4,male single,none,4,none,36,bank,for free,1,skilled,1,yes,yes,good
